# Real Antarctic bedrock transect for Part 9 (subglacial cavity benchmark).
# Source: BEDMAP1 standardised airborne-radar data points, British Antarctic Survey / SCAR Bedmap.
#   Fretwell et al.; NERC EDS UK Polar Data Centre. DOI:10.5285/f64815ec-4077-4432-9f55-0ce230f46029
#   License: CC-BY-4.0 (https://creativecommons.org/licenses/by/4.0/)
#   File: BEDMAP1_1966-2000_AIR_BM1.csv, contiguous flight segment rows 1074814:1078843.
# Single coherent flight line: 4029 points, 220.4 km along-track, 1757 m bed relief.
# Columns: along-track distance (m), bedrock_altitude (m, WGS84), longitude, latitude.
along_track_m,bedrock_altitude_m,longitude_deg,latitude_deg
6997.2,432.0,-77.7048,-77.2116
7085.5,430.0,-77.7028,-77.2123
7172.8,426.0,-77.7009,-77.213
7172.8,426.0,-77.7009,-77.213
7261.0,426.0,-77.699,-77.2136
7261.0,426.0,-77.699,-77.2136
7349.2,427.0,-77.6971,-77.2143
7349.2,427.0,-77.6971,-77.2143
7385.8,425.0,-77.6963,-77.2146
7435.4,423.0,-77.6952,-77.215
7435.4,423.0,-77.6952,-77.215
7527.3,421.0,-77.6933,-77.2156
7563.7,425.0,-77.6925,-77.2159
7617.9,428.0,-77.6914,-77.2164
7654.4,427.0,-77.6906,-77.2166
7710.6,427.0,-77.6894,-77.2171
7820.9,423.0,-77.6871,-77.2179
7820.9,423.0,-77.6871,-77.2179
7914.4,426.0,-77.6851,-77.2186
8004.1,419.0,-77.6832,-77.2193
8004.1,419.0,-77.6832,-77.2193
8097.6,419.0,-77.6813,-77.22
8097.6,419.0,-77.6813,-77.22
8191.1,411.0,-77.6793,-77.2208
8283.4,409.0,-77.6774,-77.2215
8283.4,409.0,-77.6774,-77.2215
8369.3,408.0,-77.6756,-77.2221
8369.3,408.0,-77.6756,-77.2221
8405.7,407.0,-77.6748,-77.2224
8459.0,407.0,-77.6737,-77.2228
8459.0,407.0,-77.6737,-77.2228
8495.4,407.0,-77.6729,-77.2231
8571.9,404.0,-77.6713,-77.2237
8571.9,404.0,-77.6713,-77.2237
8669.2,406.0,-77.6693,-77.2244
8766.4,402.0,-77.6672,-77.2252
8863.7,397.0,-77.6652,-77.2259
8863.7,397.0,-77.6652,-77.2259
8983.7,405.0,-77.6627,-77.2269
9024.9,405.0,-77.6619,-77.2272
9083.3,406.0,-77.6606,-77.2276
9186.7,409.0,-77.6585,-77.2284
9186.7,409.0,-77.6585,-77.2284
9290.3,405.0,-77.6563,-77.2292
9331.7,406.0,-77.6555,-77.2296
9393.9,409.0,-77.6542,-77.23
9516.4,407.0,-77.6517,-77.231
9516.4,407.0,-77.6517,-77.231
9557.9,406.0,-77.6508,-77.2313
9633.0,404.0,-77.6492,-77.2319
9633.0,404.0,-77.6492,-77.2319
9672.3,401.0,-77.6484,-77.2322
9734.7,397.0,-77.6471,-77.2327
9734.7,397.0,-77.6471,-77.2327
9776.5,396.0,-77.6462,-77.233
9835.5,398.0,-77.6449,-77.2334
9877.5,396.0,-77.644,-77.2338
9963.0,391.0,-77.6421,-77.2344
10003.8,389.0,-77.6412,-77.2347
10066.7,384.0,-77.6398,-77.2352
10066.7,384.0,-77.6398,-77.2352
10172.2,386.0,-77.6374,-77.236
10172.2,386.0,-77.6374,-77.236
10295.0,383.0,-77.6346,-77.2369
10337.1,378.0,-77.6336,-77.2372
10400.0,373.0,-77.6321,-77.2377
10505.4,370.0,-77.6296,-77.2384
10505.4,370.0,-77.6296,-77.2384
10610.4,364.0,-77.6271,-77.2392
10668.9,364.0,-77.6257,-77.2396
10729.1,364.0,-77.6242,-77.24
10729.1,364.0,-77.6242,-77.24
10771.3,368.0,-77.6231,-77.2403
10833.5,376.0,-77.6216,-77.2408
10833.5,376.0,-77.6216,-77.2408
10875.6,379.0,-77.6205,-77.2411
10938.0,380.0,-77.6189,-77.2415
10938.0,380.0,-77.6189,-77.2415
11042.9,378.0,-77.6163,-77.2423
11084.2,379.0,-77.6152,-77.2426
11146.8,380.0,-77.6136,-77.243
11146.8,380.0,-77.6136,-77.243
11250.1,381.0,-77.611,-77.2437
11291.5,383.0,-77.6099,-77.244
11350.3,388.0,-77.6084,-77.2444
11391.7,387.0,-77.6074,-77.2447
